channelid,tvg-name,group-title,tvg-logo,channelname
10001585,央视文化精品,央视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/央视文化精品.png,CCTV-央视文化精品
10001584,第一剧场,央视,https://epg.v1.mk/logo/第一剧场.png,CCTV-第一剧场
10001601,风云音乐,央视,https://epg.v1.mk/logo/风云音乐.png,CCTV-风云音乐
381195955,CGTN,央视,https://epg.v1.mk/logo/CGTN.png,CGTN英语
594590903,CGTN纪录,央视,https://epg.v1.mk/logo/CGTN纪录.png,CGTN英文记录
388096679,CGTN西语,央视,https://epg.v1.mk/logo/CGTN西语.png,CGTN西班牙语
388097125,CGTN法语,央视,https://epg.v1.mk/logo/CGTN法语.png,CGTN法语
388099934,CGTN阿语,央视,https://epg.v1.mk/logo/CGTN阿语.png,CGTN阿拉伯语
388096895,CGTN俄语,央视,https://epg.v1.mk/logo/CGTN俄语.png,CGTN俄语
840347076,湖南卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/湖南卫视.png,湖南卫视
840347168,浙江卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/浙江卫视.png,浙江卫视
840347109,江苏卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/江苏卫视.png,江苏卫视
840337788,东方卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/东方卫视.png,东方卫视
10377,安徽卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/安徽卫视.png,安徽卫视
840347062,北京卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/北京卫视.png,北京卫视
7277,天津卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/天津卫视.png,天津卫视
840337792,山东卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/山东卫视.png,山东卫视
98560530,江西卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/江西卫视.png,江西卫视
6817,湖北卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/湖北卫视.png,湖北卫视
8837,辽宁卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/辽宁卫视.png,辽宁卫视
6839,黑龙江卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/黑龙江卫视.png,黑龙江卫视
11897,贵州卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/贵州卫视.png,贵州卫视
840347074,四川卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/四川卫视.png,四川卫视
367378145,河南卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/河南卫视.png,河南卫视
488774603,云南卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/云南卫视.png,云南卫视
10302,重庆卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/重庆卫视.png,重庆卫视
98557151,河北卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/河北卫视.png,河北卫视
98558818,东南卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/东南卫视.png,东南卫视
10001162,广西卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/广西卫视.png,广西卫视
98557072,吉林卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/吉林卫视.png,吉林卫视
594151286,青海卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/青海卫视.png,青海卫视
488773815,海南卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/海南卫视.png,海南卫视
527111723,甘肃卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/甘肃卫视.png,甘肃卫视
571070943,三沙卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/三沙卫视.png,三沙卫视
817309966,西藏卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/西藏卫视.png,西藏卫视
817310115,新疆卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/新疆卫视.png,新疆卫视
817309842,兵团卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/兵团卫视.png,兵团卫视
817310023,宁夏卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/宁夏卫视.png,宁夏卫视
7278,厦门卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/厦门卫视.png,厦门卫视
869726010,陕西卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/陕西卫视.png,陕西卫视
5759,山西卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/山西卫视.png,山西卫视
4668,延边卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/延边卫视.png,延边卫视
869726928,内蒙古卫视,卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/内蒙古卫视.png,内蒙古卫视
9537,广东体育,超清,https://epg.v1.mk/logo/广东体育.png,广东体育超清
10018,CCTV4,超清,https://epg.v1.mk/logo/CCTV4K.png,CCTV-4 中文国际超清
7999,深圳卫视,超清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/深圳卫视.png,深圳卫视超清
8004,北京卫视,超清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/北京卫视.png,北京卫视超清
8005,广东卫视,超清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/广东卫视.png,广东卫视超清
149736059,湖北卫视,超清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/湖北卫视.png,湖北卫视超清
358148110,黑龙江卫视,超清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/黑龙江卫视.png,黑龙江卫视超清
477174388,CCTV4K,4K超高清,https://epg.v1.mk/logo/CCTV4K.png,CCTV4K-25P
12658,广东4K超,4K超高清,https://epg.v1.mk/logo/广东4K.png,广东4K-50P
12657,广东4K超,4K超高清,https://epg.v1.mk/logo/广东4K.png,广东4K-25P 窄色域 30
486705678,南国都市,4K超高清,https://epg.v1.mk/logo/南国都市.png,南国都市4K-25P
780168652,北京卫视,4K超高清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/北京卫视4K.png,北京卫视4K-25P
780169343,北京卫视,4K超高清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/北京卫视4K.png,北京卫视4K-50P
807931401,广东卫视,4K超高清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/广东卫视4K.png,广东卫视4K-25P
805788521,广东卫视,4K超高清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/广东卫视4K.png,广东卫视4K-50P
805916567,深圳卫视,4K超高清,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/深圳卫视4K.png,深圳卫视4K-25P
831926233,湖南卫视,4K超高清,https://epg.v1.mk/logo/湖南卫视4K.png,湖南卫视4K-50P
831926589,江苏卫视,4K超高清,https://epg.v1.mk/logo/江苏卫视4K.png,江苏卫视4K-50P
831926510,浙江卫视,4K超高清,https://epg.v1.mk/logo/浙江卫视4K.png,浙江卫视4K-50P
831926506,东方卫视,4K超高清,https://epg.v1.mk/logo/东方卫视4K.png,东方卫视4K-50P
831926585,四川卫视,4K超高清,https://epg.v1.mk/logo/四川卫视4K.png,四川卫视4K-50P
831926236,山东卫视,4K超高清,https://epg.v1.mk/logo/山东卫视4K.png,山东卫视4K-50P
10001186,快乐垂钓,付费,https://epg.v1.mk/logo/快乐垂钓.png,快乐垂钓
448464249,求索纪录,付费,https://epg.v1.mk/logo/求索纪录.png,求索纪录
486705741,天元围棋,付费,https://epg.v1.mk/logo/天元围棋.png,天元围棋
11898,CETV1,其他,https://epg.v1.mk/logo/CETV1.png,CETV-1
10001262,CETV2,其他,https://epg.v1.mk/logo/CETV2.png,CETV-2
582786018,CETV4,其他,https://epg.v1.mk/logo/CETV4.png,CETV-4
381196674,早期教育,其他,https://epg.v1.mk/logo/CETV早期教育.png,早期教育
6147,山东教育,其他,https://epg.v1.mk/logo/山东教育卫视.png,山东教育
10258,金鹰纪实,其他,https://epg.v1.mk/logo/金鹰纪实.png,金鹰纪实
422706994,金鹰卡通,其他,https://epg.v1.mk/logo/金鹰卡通.png,金鹰卡通
11935,优漫卡通,其他,https://epg.v1.mk/logo/优漫卡通.png,优漫卡通
5838,卡酷动画,其他,https://epg.v1.mk/logo/卡酷动画.png,卡酷动画
11923,汽摩,其他,https://epg.v1.mk/logo/汽摩.png,汽摩
11934,老故事,其他,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/老故事.png,老故事
